,email_body,subject_line
30,"My email system has recently developed a glitch.
It has come to my attention that some emails have been sent to me, but I never received them.
When this happens, the system does not return a 'mail not delivered' message to the sender.
If you have sent an email to me in the last couple weeks expecting a response, but did not hear back from me or my office, please call us.
I apologize for any misunderstanding or inconvenience.
Of course, issues requiring a timely response are always best handled over the phone, and until my email system is fixed it is best to either call me or email Rafael (rafael.herrera@ubspainewebber.com).
Thank you for your understanding.
> Michael Gapinski > Account Vice President > UBS PaineWebber, Inc. > Corporate Employee Financial Services > 713-654-0365 > 800-553-3119 x365 > Fax: 713-427-7539 > Cell: 281-435-0295 michael.gapinski@ubspainewebber.com  ****************************************************** Notice Regarding Entry of Orders and Instructions: Please do not transmit orders and/or instructions regarding your UBSPaineWebber account(s) by e-mail.
Orders and/or instructions transmitted by e-mail will
",Email Problems
31,"John:  The Enron deal at Elba Island amounts to a sendoout capacity of 160mmcf/d for 17 years.
This will be tough to fill as the majority of existing supply exceeds the max heat rate-I would look for Enron to get out of this in some way.
Enron is currently having discussions with El Paso as to whether this contract goes into effect Oct 1st 2001 or Jan 1st 2002.
Elba Island has recently said that they will be running in Q4 although many still doubt it.
Attached is a file that lists the terminals, their capacity owners, facility owners, expansion plans, and supply situation.
Let me know if you have any more questions.
",LNG
32,"Our group has been selling NOV to hedge our short basis position.
Our phys fixed priced liquidity this morning put us in a longer nov nymex position.
We have sold 872 since 11:00 am.
Grigsby
",nov nymex
33,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Justin K Rostant Report Name: JRostant 10/24/01 Days In Mgr.
Queue: 5
",Expense Reports Awaiting Your Approval
34,"Hey John!
How are you??
I've been following the Enron story closely, which means I've thought of you a lot recently.
I hope things are going well, despite the uncertainty.
I ran into someone from our Enron days today, which made me think of a funny story.
Do you remember when John Mee tried to eat 8 Big Macs and hurled instead?
John was talking to my boss, Chuck Clough, today, who he's known since childhood and is a mentor of sorts.
When he got off the phone, Chuck told me who he was talking to and the name John Mee struck me as familiar.
I asked Chuck if he was a big kid who'd gone to Harvard and he said yes.
So I tell him the Big Mac story and Chuck picks up the phone and calls John to ask him if that was him because if so, I knew him.
Poor thing says ""yeah, that was me, but not one of my finer moments...""  I could tell he was embarrassed.
I guess there are some things in life you just never live down.
I also ran into some friends of yours in Bermuda last month.
We shared a cab to the airport and realized we had all been at Enron, though not at the same time.
I mentioned that I really loved the company, especially how young it was and that I had a friend who joined right out of undergrad and is now doing really well.
They immediately said ""John Arnold!""
Shocked the hell out of me, honestly.
They were very funny in saying that I had made a ""bad trade"" by marrying my husband instead of you.
I told them I would keep that in mind....  ;-}  I would tell you their names, but I can't remember off the top of my head.
They both work for a weather trading firm in the Northeast now, with Lynda Clemmons.
Well, gotta run to the gym - been putting it off as long as I could today.
I really do hope you're doing well.
Please drop me a line when you aren't trading up a storm...
Warm regards,
",Small world!
35,"John and Dutch -  This email is sent to discuss what is needed with respect to NYMEX quotes from the broker market.
Simply put, we need quotes on every forward term for which we currently have positions.
It seems that the best way to obtain relevant information would be to ask for the following:  1.
Annual quotes (a quote for 2003, a quote for 2004, etc.)
2.
Seasonal quotes (winter '03, summer '04, etc.)
In short, try to obtain pricing to match any positions which we currently have in the books.
I know that this will be difficult to accomplish, but please do what you can.
We need these quotes for every day starting with Nov 28 through today.
We will continue to need daily updates for the immediate future.
Also, I am aware that our current position doesn't give us much stroke to ask for a lot of pricing data.
However, this information is critical as it will be needed for calculation of termination values.
Please do whatever you can to obtain as much data as possible.
Additionally, we need to get quotes from as many different brokers as possible to help verify pricing.
Please let me know if the brokers are not accomodating your requests; we may need to ask John or Louise to place calls into the brokers to move this process along.
If you have any questions or comments, you can normally find me in the ""war room"" next to Louise's office.
If I'm not there, please call me at (713) 927-3003 or at ext 53923.
Thanks,
",Broker Quotes - PLEASE READ
36,"I left a message earlier with your assistant.
My contact information is below, please touch base with me as soon as possible.
I am working on a project that is very pressing.
",Contact
37,"8214 Colonial Oaks Lane                                                                                                                                                                                                               Spring, Texas 77379                                                                                                                                                                                                                 December 13, 2001 Regarding: energy trading positions    To Kevin Presto, Harry Arora, and John Arnold:   I am writing to you to express my desire to be apart of the Wholesale Power and Gas Trading operation that will potentially be created with an entity that has a high credit rating.
I have been working for Rogers Herndon in Enron Wholesale Services on the Options Desk.
In this role I have modeled the power options that are embedded in the various deals done through Enron Energy Services with large industrial and commercial clients.
In addition, I profitably managed the positions and priced deals for structurers and originators.
I realize that now is a difficult time but am confident that I would make an excellent addition to your team for several key reasons:   ?
Proven experience in the financial markets and direct trading experience in various markets, including electricity and natural gas, mortgage backed securities, U.S. Treasury securities, foreign exchange, EuroCurrency and EuroDollar deposits ?
Team player and high work ethic, successfully balancing trading opportunities with managing risk ?
Solid portfolio management and risk management experience in electricity and mortgage banking  ?
Five years direct experience in trading, risk management, structured products and marketing of electricity for the United States ?
Actively involved in the physical markets and strong understanding of the western grid ?
Experience trading OTC forwards and options at major hubs in other NERC regions such as Cinergy, Entergy, ERCOT, NEPOOL and PJM ?
Worked for both unregulated power marketers and regulated utility ?
Extensive experience in derivatives and structured products ?
Ability to effectively work with marketers pricing and structuring deals for industrial and commercial end users of energy ?
Strength in mentoring junior traders   Thank you,
",Wholesale Power and Gas Trading operation
38,"John, 	I will have my cell with me until Saturday the 22nd.
713-569-4684.
From the 22-29th please reach me at 781-830-9199.
I will be out of the country but checking in at that number.
I will call you tonight to make sure that this information has made it to you.
Thanks-Jeb
",info
39,"John -  I want to confirm that you received the literature on the UBS PaineWebber Private Equity Fund III and the Tamarack Fund.
The Private Equity III literature refers to a December 17 closing date; however, we have extended that closing, so you may still be able to participate.
Have you reviewed the material, yet?
Thanks,
",Private Equity Fund
40,"Friends:  The NYMEX will be open for a normal trading day today, closing at 2:30 p.m. EST.
The market will remain closed Monday December 24 and Tuesday December 25.
NYMEX ACCESS will reopen the evening of the 25th at 7:00 p.m.
The Exchange will reopen Wednesday morning the 26th at 10:00 a.m. EST.
Happy Holidays!!
BNP PARIBAS Commodity Futures
",NYMEX Holiday Hours
41,"Brian,  As we discussed earlier today, Enron North America Corp. (ENA) desires to re-establish its account with Paribas.
The purpose of this account would be to sell no more than 2,500 NYMEX natural gas futures contracts to hedge natural gas storage inventory for the months of February, March and April, 2002.
Please advise me as soon as possible regarding what ENA will need to do to re-establish its account.
Please call me with questions at (w) 713-853-7657 or (m) 713-582-8379.
Regards,
",Re-establish ENA's account
42,"You got a notice from Hollywood Video saying you owe $64.99 for a DVD you borrowed on 11/30/01 entitled ""15 minutes"".
You are to enclose the  letter when paying your bill so I am mailing it to you.
Be sure to look for it in the mail.
Also, we need to talk about the weekend of 01/12.
My doctor's appointment has been changed.
Let's talk about it.
Sorry I forgot you went to Belize.
Hope you had a wonderful time.
Hope there weren't any bugs in that thatched roof!
Love you, Mom
",Hollywood video
43,"Ina: 1.
Vacation is fine.
2.
Please put meeting below on calendar.
3.
I am going to analyst presentation at Vanderbilt.
Find out when it is and  put on calendar.
4.
Can you find out who is on the ENA management committee meeting I went to  along with their title and responsibilities.
5.
Can you schedule a meeting for Tuesday or Wednesday late afternoon with  Phillip, Hunter, and Fletch about EOL Thanks.
",Bi-weekly Meeting
44,"I am changing the way the curve is generated starting in Jan 2004 to better  replicate seasonal fundamentals.
There are convincing arguments as to why  the summer/winter spreads should tighten over time.
However, in the previous  methodology they blew out.
For instance summer/winter in Cal 3 was .232  while Cal 10 was .256.
I have added a seasonality dampening function that both contracts the  summer/winter spread and applies a premium to the electric load demand months  of July and August over time.
The formula for the curve remains the same except for a premium lookup for  the month as well as for the year.
These premiums are as follows:  Jan  -.008 Feb -.004 Mar -.001 Apr .002 May .003 Jun .004 Jul .004 Aug .004 Sep .003 Oct .002 Nov -.003 Dec -.006   These premiums start in Jan 2004 On Wednesday Jan 2003 settled 2.959,  the 3/4 spread was marked at .0375, the  4/5 spread was marked at .0475.
In the old methodology Jan 2003  = 2.959 Jan 2004  = 2.959 + .0375 = 2.9965 Jan 2005  =          2.9965 + .0475 = 3.044   In the new methodology Jan 2003  = 2.959 Jan 2004  = 2.959 + .0375 - .008 =2.9885 Jan 2005  = 2.9885 + .0475 -.008 = 3.028  The only change in the formula is from: Month x = Month (x- 1 year) + lookup on year on year table to Month x = Month (x- 1 year) + lookup on year on year table + lookup on month  premium table  The seasonality premiums will change over time and I will let you know when I  change them
",New curve generation methodology
45,"Files are bigger than the limit, so I am trying one by one.
Harry,  I don't have access to M:\power2\options.
I'll request the setup, and here are the spreadsheets for vol book.
",vol book spreadsheets
46,"========================================================= PURE NRG's UPCOMING CALENDAR OF EVENTS      *   December 31 (Monday) - Westin Hotel - Bibi Magazine's New Year's Eve  Party [SAVE $15 with Pure NRG]     *   February 2 (Saturday) - Valentine's Speed-Dating Mixer via Pure NRG &  MeraPyar.com =========================================================  Mention PURE ENERGY whenever you buy your New Year's Eve tickets to Bibi  Magazine's Party at the Westin Galleria Hotel, and get a $15 DISCOUNT off of  the Regular Rates.
No matter who you buy them from, you must ask for the  ""Pure Energy"" discount in order to get the CHEAPEST TICKETS AVAILABLE.
To purchase your tickets or for any questions, send email to  PURENRG123@AOL.COM or call Chander @ 713-253-4300.
There is a LIMITED SUPPLY  OF DISCOUNTED TICKETS available and they are SELLING VERY FAST, so call SOON  and save $15 per person!
Please FORWARD this email to others and SPREAD THE WORD about the ""Pure  Energy"" discount to your friends so that they can enjoy this SPECIAL SAVINGS  also!!!!
=========================================================                                         12.
31.
2001  PURE FANTASY  ~  PURE GLAMOUR  ~  PURE FUN  ~  PURE NRG        Get Ready Texas, New Year's Eve Never Looked SO Good!
PURE NRG PRODUCTIONS                                     in conjunction with                                     BIBI MAGAZINE                                          presents                                ON THE RUNWAY 2002                                    DECEMBER 31, 2001                                     8:00pm onwards                               The Westin Galleria Hotel                 (located on West Alabama in Houston, Texas)  =========================================================  New Year's Eve Never Looked So Good!
Bibi International Fashion Show featuring the Urban Indian Beat Dancers Gourmet Buffet Dinner Midnight Champagne Toast Party Favors & Special Treats Hottest DJ's Spinning Coolest Tunes American, Arabic, Bhangra and Latin Music Dancing with DJ Nitro Roaming Photographers Other Surprises  ========================================================= Ticket Prices:   Pure NRG Discounted Rate      $110 per person   [SAVE $15 by mentioning ""PURE  ENERGY""] Regular Price                          $125 per person Reserved Tables                      $150 per person
","SAVE $15 on Bibi Magazine's New Year's Eve Party.....Just mention  ""PURE ENERGY""!"
47,"Roland and David  I am attaching the Enron response to your RFP of October 4, 2001.
This proposal is indicative and confidential.
We would be most pleased to discuss this proposal or other approaches/modifications with you.
thank you
",Indicative Enron Proposal for Wallingford
48,"Dear Rajan,  Sat sri akal.
It was a pleasure to talk to you yesterday.I had discussed with  you our programme for the return journey.Though our return journey is fixed  on 18th of Nov. but due to circumstances as discussed with you yesterday ,we  may have to extend our stay for a couple of months if we could get clearance  from INS for which AP has applied.
In the meantime ,if we could have an  understanding with Dimpy/Ap we may move earlier as planned.
Any case we must  keep more medicines so that at that time we may not have any problem.
I  therefore  will greatly appreciate if you can arrange to get the following  medicines from India with Raj's mother who is coming  in the next month and  then later on these can be sent to us.
STAMLO BETA                 15x10   =150 Tab (15 strips of 10 each) AMLOPRES- AT              15x10  =  150  ""              "" Semi Daonil or Daonil        15x10  =  150   ""              "" Glyciphage 500                  15x10  =  150  ""               "" Premelle' 2.5                        2x28  =    56  ""( 2 pkts.
of 28 each) ( Conjugated Estrogens and Medroxyprogesterone acetate USP)    I am sure you must be sending your authority to MSDANG at Delhi .
I will  talk with u on phone in the evening.
Rest is OK.Winter has started here.
With  our lot of love to you and hope to have a tea -te-te in the evening.
",general welfare
